latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.897,138.27,339.8,1.7,1.3,2021-01-28,0045,T,85,6.0NRT,302.4,58.6,D
-20.151,143.047,333.9,1,1,2021-01-28,0045,T,73,6.0NRT,312.2,10,D
-21.392,148.399,320.2,1.9,1.3,2021-01-28,0045,T,61,6.0NRT,294.3,24.5,D
-21.395,148.417,318.5,1.9,1.3,2021-01-28,0045,T,45,6.0NRT,293.5,18.3,D
-21.399,148.41,324.3,1.9,1.3,2021-01-28,0045,T,76,6.0NRT,294,34.4,D
-21.527,145.221,350.3,1.2,1.1,2021-01-28,0045,T,94,6.0NRT,307.1,59.2,D
-22.098,149.511,313.9,2.3,1.5,2021-01-28,0045,T,0,6.0NRT,295.3,26,D
-23.463,146.632,340.5,1.5,1.2,2021-01-28,0045,T,88,6.0NRT,302.4,60.2,D
-23.465,146.625,328.5,1.5,1.2,2021-01-28,0045,T,76,6.0NRT,302.6,27.8,D
-23.466,146.64,327.1,1.5,1.2,2021-01-28,0045,T,74,6.0NRT,301.7,25.1,D
-23.976,149.778,313.8,2.5,1.5,2021-01-28,0045,T,31,6.0NRT,293.9,28.2,D
-24.58,150.435,317.3,2.9,1.6,2021-01-28,0045,T,37,6.0NRT,298.3,48.5,D
-24.58,150.43,317.2,2.9,1.6,2021-01-28,0045,T,46,6.0NRT,297.9,49.2,D
-24.186,145.174,332.3,1.3,1.1,2021-01-28,0045,T,74,6.0NRT,311.9,14.8,D
-25.134,152.546,309,4.2,1.9,2021-01-28,0045,T,16,6.0NRT,288.7,51.1,D
-26.363,149.381,318.3,2.6,1.5,2021-01-28,0045,T,44,6.0NRT,296.7,32.4,D
-27.094,148.372,321.3,2.2,1.4,2021-01-28,0045,T,48,6.0NRT,299.6,27.9,D
-27.097,148.395,324.3,2.2,1.4,2021-01-28,0045,T,66,6.0NRT,299.7,38.4,D
-27.107,148.371,323.6,2.2,1.4,2021-01-28,0045,T,53,6.0NRT,298.6,34,D
-27.11,148.393,330.6,2.2,1.4,2021-01-28,0045,T,77,6.0NRT,297.8,61.9,D
-27.107,148.388,341.9,2.2,1.4,2021-01-28,0045,T,89,6.0NRT,299.6,115.8,D
-27.618,149.462,320.6,2.7,1.6,2021-01-28,0045,T,60,6.0NRT,295.7,50.2,D
-28.335,149.96,322,3,1.6,2021-01-28,0045,T,55,6.0NRT,297.5,38.6,D
-28.35,149.959,329.7,3,1.6,2021-01-28,0045,T,77,6.0NRT,300.8,75.5,D
-28.349,149.953,330.6,3,1.6,2021-01-28,0045,T,78,6.0NRT,300.2,80.1,D
-37.676,140.432,318.9,1.1,1,2021-01-28,0050,T,62,6.0NRT,303.7,6.5,D
-18.961,-40.997,302.9,1,1,2021-01-28,0125,T,52,6.0NRT,290.5,5,N
-18.886,-41.053,304.2,1,1,2021-01-28,0125,T,59,6.0NRT,290.6,5.9,N
-18.436,-39.853,321.2,1,1,2021-01-28,0125,T,100,6.0NRT,293.3,19.3,N
-18.427,-39.854,325.1,1,1,2021-01-28,0125,T,100,6.0NRT,293,23.7,N
-15.093,-44.393,301.5,1.2,1.1,2021-01-28,0125,T,42,6.0NRT,290.9,5.7,N
-14.898,-44.09,302.9,1.1,1.1,2021-01-28,0125,T,52,6.0NRT,292.8,5.3,N
-12.985,-45.399,306.9,1.2,1.1,2021-01-28,0125,T,69,6.0NRT,288.7,11.6,N
-12.987,-45.41,308.6,1.3,1.1,2021-01-28,0125,T,75,6.0NRT,288.1,13.4,N
-12.414,-43.729,305.9,1,1,2021-01-28,0125,T,66,6.0NRT,292.9,6.8,N
-12.309,-46.641,304,1.5,1.2,2021-01-28,0125,T,58,6.0NRT,287.1,9.9,N
-11.488,-43.944,304.3,1,1,2021-01-28,0125,T,60,6.0NRT,292.1,5.8,N
-11.489,-43.953,307.4,1,1,2021-01-28,0125,T,71,6.0NRT,292.6,7.7,N
-8.226,-39.02,305.2,1.5,1.2,2021-01-28,0125,T,63,6.0NRT,292.9,8.1,N
-5.665,-43.529,300.9,1,1,2021-01-28,0125,T,35,6.0NRT,271.5,6.1,N
-3.596,-38.863,303.5,1.9,1.3,2021-01-28,0125,T,55,6.0NRT,291.3,9.5,N
-22.905,-42.706,312.1,1.2,1.1,2021-01-28,0120,T,81,6.0NRT,297.1,10.6,N
-22.908,-43.727,310.9,1.3,1.1,2021-01-28,0120,T,81,6.0NRT,297.8,9.8,N
-22.909,-43.74,323.7,1.3,1.1,2021-01-28,0120,T,100,6.0NRT,298.8,26.8,N
-22.911,-43.732,321.4,1.3,1.1,2021-01-28,0120,T,100,6.0NRT,298.6,23.3,N
-22.912,-43.745,310.6,1.3,1.1,2021-01-28,0120,T,80,6.0NRT,298.1,9.4,N
-22.285,-41.726,309.3,1.1,1,2021-01-28,0120,T,77,6.0NRT,294.7,8.3,N
-20.968,-41.026,304.2,1,1,2021-01-28,0120,T,59,6.0NRT,293.8,4.4,N
-20.674,-41.423,303.8,1,1,2021-01-28,0120,T,57,6.0NRT,293,5,N
-20.251,-40.249,307.3,1,1,2021-01-28,0120,T,68,6.0NRT,294.7,5.2,N
-20.24,-40.237,310.7,1,1,2021-01-28,0120,T,70,6.0NRT,295.6,7.4,N
-20.241,-40.247,312.1,1,1,2021-01-28,0120,T,84,6.0NRT,295.5,8.4,N
-20.546,-43.752,303.7,1.2,1.1,2021-01-28,0120,T,56,6.0NRT,293.1,7.8,N
-20.547,-43.764,303.6,1.2,1.1,2021-01-28,0120,T,56,6.0NRT,292.6,7.8,N
-19.779,-41.923,310.9,1,1,2021-01-28,0120,T,81,6.0NRT,291.3,10.5,N
12.366,13.006,303.2,1.4,1.2,2021-01-28,0105,A,54,6.0NRT,287.1,11.7,N
12.034,13.348,303.4,1.5,1.2,2021-01-28,0105,A,55,6.0NRT,281.1,15.7,N
11.902,13.721,306.1,1.6,1.2,2021-01-28,0105,A,17,6.0NRT,286.5,15.8,N
11.317,14.128,301.8,1.7,1.3,2021-01-28,0105,A,44,6.0NRT,285.2,14.9,N
11.315,14.143,305.7,1.8,1.3,2021-01-28,0105,A,65,6.0NRT,286.2,20.2,N
12.442,6.321,312.7,1.2,1.1,2021-01-28,0105,A,86,6.0NRT,293,15.6,N
12.441,6.332,305.2,1.2,1.1,2021-01-28,0105,A,63,6.0NRT,292.8,8.6,N
11.131,9.094,302,1,1,2021-01-28,0105,A,46,6.0NRT,291.4,5.3,N
11,9.099,310.6,1,1,2021-01-28,0105,A,81,6.0NRT,291.7,10.3,N
11.244,6.716,303.9,1.1,1.1,2021-01-28,0105,A,57,6.0NRT,292.4,7,N
11.75,2.742,300.4,2.1,1.4,2021-01-28,0105,A,26,6.0NRT,287,16.1,N
10.222,7.039,304,1.1,1,2021-01-28,0105,A,58,6.0NRT,292.9,5.6,N
9.332,11.739,300.1,1.3,1.1,2021-01-28,0105,A,4,6.0NRT,289.4,4.7,N
9.322,11.738,304.3,1.3,1.1,2021-01-28,0105,A,58,6.0NRT,291.4,8.2,N
8.569,13.106,307.5,1.6,1.3,2021-01-28,0105,A,47,6.0NRT,295.3,14.4,N
8.628,12.512,303.7,1.5,1.2,2021-01-28,0105,A,56,6.0NRT,293.3,9.4,N
9.44,5.881,309.1,1.2,1.1,2021-01-28,0105,A,76,6.0NRT,292.5,12.1,N
8.162,13.138,301,1.7,1.3,2021-01-28,0105,A,37,6.0NRT,287.3,10.5,N
8.16,13.153,306.2,1.7,1.3,2021-01-28,0105,A,67,6.0NRT,288,17.2,N
8.104,12.78,300.6,1.6,1.2,2021-01-28,0105,A,31,6.0NRT,286.3,10.3,N
8.013,13.062,300.7,1.7,1.3,2021-01-28,0105,A,32,6.0NRT,287.3,10.7,N
8.014,13.057,302.5,1.7,1.3,2021-01-28,0105,A,50,6.0NRT,287.8,13.5,N
9.768,-0.163,302.6,3.4,1.7,2021-01-28,0105,A,46,6.0NRT,290.4,31.9,N
9.759,-0.172,300.9,3.4,1.7,2021-01-28,0105,A,35,6.0NRT,289.8,28.1,N
8.171,11.043,300.5,1.2,1.1,2021-01-28,0105,A,28,6.0NRT,289.3,6.7,N
8.169,11.054,301.5,1.2,1.1,2021-01-28,0105,A,42,6.0NRT,289.3,7.3,N
9.664,-0.031,313.2,3.3,1.7,2021-01-28,0105,A,87,6.0NRT,291.2,68.2,N
9.666,-0.035,310.1,3.3,1.7,2021-01-28,0105,A,79,6.0NRT,291.5,55.9,N
9.424,-0.395,311,3.5,1.8,2021-01-28,0105,A,81,6.0NRT,291.6,62.8,N
9.42,-0.363,306.9,3.4,1.7,2021-01-28,0105,A,70,6.0NRT,292.8,44.1,N
7.463,11.051,301.8,1.2,1.1,2021-01-28,0105,A,45,6.0NRT,291.6,7.1,N
7.038,11.417,306.9,1.3,1.1,2021-01-28,0105,A,70,6.0NRT,291.2,11.4,N
6.662,10.663,310.6,1.2,1.1,2021-01-28,0105,A,80,6.0NRT,292.3,13.3,N
6.556,10.216,300.5,1.1,1.1,2021-01-28,0105,A,28,6.0NRT,285.3,7,N
6.658,9.248,301.5,1,1,2021-01-28,0105,A,41,6.0NRT,283,6.1,N
6.428,9.977,301.7,1.1,1.1,2021-01-28,0105,A,43,6.0NRT,290.5,6.3,N
6.631,5.733,301.6,1.1,1.1,2021-01-28,0105,A,42,6.0NRT,291.1,4.2,N
6.129,6.017,301,1.1,1,2021-01-28,0105,A,37,6.0NRT,284.8,4.9,N
5.908,5.58,302.5,1.1,1.1,2021-01-28,0105,A,49,6.0NRT,289.8,4.5,N
5.906,5.591,306.1,1.1,1.1,2021-01-28,0105,A,67,6.0NRT,289.7,7.2,N
5.954,5.052,305.6,1.2,1.1,2021-01-28,0105,A,65,6.0NRT,293.2,6.1,N
5.66,6.519,307.1,1,1,2021-01-28,0105,A,70,6.0NRT,281.2,8.3,N
5.707,4.484,311.1,1.3,1.1,2021-01-28,0105,A,73,6.0NRT,294.1,10,N
5.71,4.477,307.8,1.3,1.1,2021-01-28,0105,A,57,6.0NRT,294.1,6.9,N
5.708,4.489,312,1.3,1.1,2021-01-28,0105,A,77,6.0NRT,294.2,11.3,N
5.391,6.66,312.5,1,1,2021-01-28,0105,A,85,6.0NRT,288.9,11.4,N
